Id,Script result,GBS2p(234),GBS2p(2345),GBS2p(24),Passport ploidy,species
PI_407416,4,4,5,4,4,tbr
PI_407417,4,4,4,4,4,tbr
PI_407419,3,4,4,4,4,tbr
PI_407420,5,4,4,4,4,tbr
PI_407421,5,4,4,4,4,tbr
PI_407425,4,4,5,4,4,tbr
PI_423632,4,4,4,4,4,tbr
PI_423647,3,3,3,2,4,tbr
PI_423648,4,4,5,4,4,tbr
PI_423649,3,4,5,4,4,tbr
PI_423661,4,4,5,4,4,tbr
PI_423662,3,3,5,4,4,tbr
PI_423669,3,4,4,4,4,tbr
PI_423670,5,4,4,4,4,tbr
PI_451705,3,4,5,4,4,tbr
PI_451706,3,4,4,4,4,tbr
PI_451707,5,4,5,4,4,tbr
PI_451708,4,4,4,4,4,tbr
PI_451709,3,4,4,4,4,tbr
PI_462333,4,4,5,4,4,tbr
PI_475775,4,4,4,4,4,tbr
PI_475776,4,4,4,4,4,tbr
PI_475781,4,4,5,4,4,tbr
PI_491542,4,3,5,4,4,tbr
PI_515921,4,4,5,4,4,tbr
PI_518592,4,3,3,4,4,tbr
PI_527879,3,3,3,2,4,tbr
PI_527881,4,4,5,4,4,tbr
PI_527882,4,4,4,4,4,tbr
PI_527893,4,4,5,4,4,tbr
PI_527897,3,4,4,4,4,tbr
PI_527906,4,3,3,2,4,tbr
PI_527922,4,4,4,4,4,tbr
PI_527923,4,4,4,4,4,tbr
PI_527925,4,4,4,4,4,tbr
PI_527926,3,4,5,4,4,tbr
PI_527927,5,4,4,4,4,tbr
PI_527928,3,3,3,2,4,tbr
PI_527929,4,4,4,4,4,tbr
PI_527977,5,4,4,4,4,tbr
PI_527978,4,4,4,4,4,tbr
PI_527979,4,4,5,4,4,tbr
PI_537040,4,4,5,4,4,tbr
PI_537045,4,4,4,4,4,tbr
PI_584993,4,4,5,4,4,tbr
PI_587046,5,4,5,4,4,tbr
PI_587049,6,4,4,4,4,tbr
PI_587050,4,4,4,4,4,tbr
PI_587051,4,4,4,4,4,tbr
PI_587052,3,4,4,4,4,tbr
PI_587053,3,4,4,4,4,tbr
PI_587054,4,4,4,4,4,tbr
PI_587065,4,2,5,2,4,tbr
PI_587068,4,4,5,4,4,tbr
PI_587069,4,3,3,2,4,tbr
PI_587072,2,3,3,4,4,tbr
PI_587073,4,3,3,4,4,tbr
PI_587077,4,4,4,4,4,tbr
PI_587084,3,4,5,4,4,tbr
PI_595403,5,4,5,4,4,tbr
PI_595405,4,3,5,4,4,tbr
PI_595406,4,4,4,4,4,tbr
PI_595415,4,3,5,4,4,tbr
PI_595420,3,4,4,4,4,tbr
PI_595424,4,4,5,4,4,tbr
PI_595425,3,4,4,4,4,tbr
PI_595444,4,3,3,2,4,tbr
PI_595492,4,4,5,4,4,tbr
PI_597779,4,2,5,2,4,tbr
PI_597782,4,4,5,4,4,tbr
PI_599259,4,3,3,2,2,tbr
PI_599279,5,4,4,4,2,tbr
PI_599280,5,3,3,4,2,tbr
PI_599286,3,4,5,4,2,tbr
PI_604206,2,3,3,2,5,tbr
PI_604207,3,4,4,4,5,tbr
PI_604208,2,3,3,2,5,tbr
PI_604211,4,4,4,4,4,tbr
PI_607472,3,4,4,4,4,tbr adg
PI_607475,3,4,4,4,4,tbr
PI_607480,4,4,4,4,4,tbr
PI_607482,4,4,4,4,4,tbr
PI_607483,4,4,5,4,4,tbr
PI_607494,3,4,5,4,4,tbr
PI_607495,4,3,3,4,4,tbr adg
PI_607497,4,4,5,4,4,tbr
PI_607498,4,3,3,2,4,tbr adg
PI_611072,4,3,5,4,4,tbr adg
PI_611074,3,3,3,2,4,tbr adg
PI_611078,4,3,3,2,4,tbr
